Ssn,Sex,Salary,Bdate,Super_ssn,Dno
0,1,84000,57898,218,34
1,1,262000,70295,461,10
2,0,165000,66149,345,22
3,1,256000,63226,250,11
4,1,101000,65371,57,21
5,1,119000,69784,98,24
6,1,255000,67212,299,19
7,0,267000,60613,344,17
8,0,284000,56662,439,35
9,1,206000,61080,141,17
10,0,57000,69760,185,19
11,1,245000,69720,50,36
12,0,270000,59058,442,1
13,0,206000,59036,255,8
14,1,132000,69361,265,29
15,1,220000,60423,412,19
16,1,172000,61242,197,29
17,0,86000,62861,174,8
18,1,143000,62209,468,11
19,1,291000,67731,458,5
20,0,219000,62076,319,8
21,0,115000,66922,138,5
22,0,201000,63788,266,8
23,0,107000,57977,298,17
24,0,128000,60239,234,23
25,0,110000,63229,144,22
26,0,77000,56767,487,16
27,1,89000,63926,205,17
28,1,83000,69957,495,7
29,0,171000,63864,493,27
30,1,190000,59444,455,11
31,1,42000,62999,268,18
32,1,81000,60147,215,15
33,1,271000,70379,402,10
34,0,271000,57809,115,39
35,0,272000,60352,23,20
36,0,86000,58407,265,8
37,0,224000,71138,453,13
38,1,145000,68003,193,2
39,1,32000,64651,342,34
40,0,148000,69956,320,39
41,0,299000,56451,74,20
42,0,142000,70805,19,18
43,0,125000,68872,406,14
44,0,255000,65625,223,22
45,1,261000,71139,245,39
46,0,161000,61059,291,22
47,1,203000,71906,81,39
48,0,134000,62413,435,2
49,1,248000,68732,441,28
50,0,200000,63385,188,23
51,0,102000,57519,141,24
52,1,270000,62979,450,2
53,0,89000,63381,179,11
54,0,81000,64646,345,18
55,1,30000,60604,485,40
56,0,113000,70637,194,31
57,0,162000,58286,272,29
58,1,221000,66124,339,18
59,0,33000,62699,256,36
60,1,291000,61302,317,39
61,1,287000,65344,118,15
62,1,46000,65638,370,14
63,1,213000,66227,311,19
64,0,55000,63612,381,7
65,0,114000,66371,317,40
66,1,251000,61658,293,28
67,1,64000,55361,299,11
68,0,109000,56607,47,15
69,0,57000,63172,7,15
70,0,132000,59819,140,3
71,1,196000,65430,272,2
72,1,197000,67739,369,12
73,1,80000,71361,170,39
74,0,79000,57915,29,28
75,1,124000,61694,41,11
76,1,128000,69889,207,25
77,0,288000,70120,175,5
78,0,201000,58121,177,18
79,0,274000,57285,364,27
80,1,86000,62742,21,25
81,1,219000,55577,251,10
82,1,235000,68166,163,38
83,0,110000,58122,154,28
84,0,240000,56934,412,7
85,0,106000,56714,192,10
86,1,245000,61824,12,23
87,1,110000,57605,52,17
88,0,185000,61334,477,22
89,0,30000,68996,266,24
90,0,279000,56814,375,2
91,0,38000,61519,495,31
92,0,298000,64598,124,15
93,1,175000,68289,103,40
94,0,89000,58352,74,33
95,0,204000,60772,472,39
96,0,217000,63549,279,39
97,1,44000,64322,378,16
98,0,197000,67647,90,29
99,0,268000,69029,177,3
100,0,200000,64160,331,31
101,0,189000,65400,321,23
102,1,104000,65917,207,19
103,1,78000,61002,399,28
104,0,114000,55003,142,16
105,0,226000,62042,183,40
106,1,116000,69881,75,37
107,1,89000,69873,281,9
108,1,171000,56645,456,33
109,1,293000,64877,357,4
110,0,158000,56072,310,1
111,1,274000,57036,407,17
112,0,54000,63386,331,36
113,0,71000,67619,18,37
114,0,65000,65432,67,4
115,1,153000,62556,220,36
116,0,158000,67445,493,7
117,0,49000,70047,452,33
118,0,254000,68297,281,13
119,0,242000,57374,339,36
120,0,252000,56955,168,22
121,1,191000,67010,8,32
122,1,46000,71214,272,24
123,0,276000,60272,184,24
124,0,61000,55609,103,14
125,1,278000,59646,384,1
126,0,64000,69956,306,7
127,0,299000,59361,493,29
128,0,37000,60119,408,14
129,0,231000,67136,225,39
130,1,220000,58784,113,8
131,1,55000,60868,341,11
132,1,141000,58240,100,40
133,0,93000,67116,407,12
134,0,256000,56049,336,27
135,1,127000,55426,111,22
136,0,289000,61445,146,33
137,1,132000,67849,383,6
138,1,269000,70546,59,16
139,0,44000,57340,149,18
140,0,214000,57699,367,24
141,0,62000,67642,14,35
142,1,203000,56906,86,14
143,0,177000,64096,264,35
144,0,43000,60567,458,13
145,0,191000,71475,119,16
146,1,218000,68217,56,26
147,0,266000,67641,112,12
148,0,65000,59410,165,31
149,1,70000,64045,346,9
150,1,234000,69179,388,7
151,1,164000,63051,152,27
152,1,280000,55170,212,36
153,0,142000,65810,265,2
154,1,138000,60552,478,9
155,1,35000,71473,219,18
156,0,239000,61668,188,14
157,0,203000,65508,411,24
158,1,258000,68957,340,1
159,1,277000,61657,56,4
160,0,158000,64297,326,40
161,0,144000,69347,415,23
162,0,207000,70880,336,40
163,0,229000,62646,286,15
164,1,83000,65793,324,11
165,0,143000,56380,7,24
166,1,97000,61662,129,15
167,0,219000,61761,455,32
168,1,216000,56016,170,5
169,0,61000,70660,42,2
170,0,228000,69682,440,16
171,0,226000,70426,15,3
172,0,175000,71330,266,15
173,0,196000,70041,354,27
174,1,199000,69118,120,31
175,1,260000,62353,364,26
176,0,39000,59952,463,37
177,1,129000,55109,426,24
178,0,69000,55851,378,2
179,1,215000,63276,446,20
180,1,275000,57269,469,40
181,1,46000,60037,24,14
182,1,71000,66699,107,16
183,1,276000,70006,118,20
184,1,40000,60913,365,33
185,0,181000,58205,330,37
186,0,237000,56830,152,39
187,1,73000,68273,362,40
188,0,296000,70970,193,30
189,1,194000,61879,52,10
190,0,70000,57820,151,22
191,0,62000,67781,420,22
192,0,161000,64141,410,27
193,0,114000,69258,332,14
194,1,111000,58201,392,5
195,1,125000,70703,4,29
196,1,62000,55586,288,10
197,1,217000,63344,399,38
198,1,285000,65325,185,6
199,1,65000,56867,172,35
200,0,265000,69154,262,26
201,0,187000,56930,135,10
202,0,110000,63005,22,27
203,0,86000,62105,238,15
204,0,246000,65374,452,3
205,1,82000,66211,222,26
206,0,238000,69063,314,19
207,1,190000,63250,295,38
208,0,143000,60371,227,9
209,0,218000,56073,437,14
210,0,34000,65623,224,38
211,0,292000,57666,404,27
212,0,85000,56120,281,14
213,0,110000,63728,128,5
214,1,284000,56402,124,37
215,0,191000,66989,215,6
216,1,181000,56033,381,39
217,0,60000,70200,296,37
218,1,127000,64714,350,15
219,1,265000,66480,433,15
220,0,190000,61984,438,15
221,1,148000,58683,122,14
222,0,41000,56634,152,2
223,0,163000,69126,437,36
224,0,141000,69981,326,19
225,1,240000,62722,14,1
226,1,225000,70095,336,23
227,0,93000,56661,363,28
228,1,39000,62652,213,35
229,1,249000,58117,492,10
230,0,189000,67152,34,27
231,0,95000,63166,250,21
232,1,153000,62580,420,11
233,1,53000,59319,17,31
234,0,46000,69790,172,17
235,0,68000,57574,195,33
236,1,144000,55427,35,34
237,0,232000,60996,101,9
238,1,283000,57876,174,16
239,0,240000,70202,97,37
240,1,51000,62886,371,26
241,0,30000,58716,376,15
242,0,81000,66394,327,27
243,0,287000,67132,402,4
244,1,35000,62804,303,8
245,1,274000,59784,25,33
246,0,60000,61613,442,5
247,0,131000,67404,233,24
248,0,94000,68992,73,37
249,1,141000,62378,489,11
250,1,37000,56250,340,39
251,1,90000,59589,323,24
252,1,244000,55412,451,30
253,1,125000,67078,280,1
254,1,249000,69835,143,13
255,0,61000,60267,318,26
256,0,133000,64784,293,16
257,1,134000,57598,473,27
258,0,153000,71529,265,6
259,0,116000,68980,3,21
260,1,174000,62791,451,6
261,1,206000,67986,408,35
262,1,109000,59138,40,34
263,0,41000,59149,11,3
264,0,209000,65216,267,31
265,0,55000,63150,423,36
266,0,52000,60739,235,5
267,1,153000,67392,238,40
268,1,174000,60231,268,16
269,0,102000,62931,295,7
270,0,206000,70027,388,15
271,1,80000,58641,159,5
272,1,242000,56695,435,32
273,0,66000,71298,421,18
274,1,289000,59785,80,24
275,0,104000,67828,205,10
276,1,233000,61418,23,38
277,0,123000,71002,292,11
278,0,255000,71899,205,17
279,0,237000,55138,178,38
280,0,297000,68658,325,20
