Ssn,Sex,Salary,Bdate,Super_ssn,Dno
0,1,45000,71639,119,2
1,0,31000,57708,154,2
2,0,89000,63168,82,4
3,0,43000,68005,0,2
4,0,100000,66706,150,9
5,0,54000,62810,33,7
6,1,37000,61822,48,2
7,1,95000,68013,85,2
8,0,43000,60859,138,3
9,0,90000,58104,7,4
10,1,84000,55704,16,10
11,1,71000,66054,146,10
12,1,72000,65088,121,4
13,1,80000,66976,136,7
14,0,72000,62639,138,3
15,0,76000,70748,93,4
16,0,50000,57585,86,4
17,1,43000,69870,55,7
18,0,58000,71444,85,10
19,0,59000,67733,142,10
20,1,88000,70428,90,8
21,0,59000,61975,66,2
22,1,79000,64198,118,10
23,1,100000,64220,133,2
24,0,70000,62508,95,1
25,1,76000,65034,143,7
26,1,99000,66231,28,4
27,1,75000,61024,5,6
28,1,95000,69287,74,2
29,1,54000,69217,82,1
30,0,32000,57387,99,10
31,0,94000,61701,22,3
32,0,46000,71797,3,7
33,1,41000,57712,153,1
34,1,59000,64729,120,7
35,0,32000,67973,42,10
36,0,69000,70379,156,9
37,0,30000,71509,119,1
38,0,74000,57057,98,4
39,1,40000,68245,143,2
40,1,29000,69988,41,5
41,1,94000,69288,130,9
42,0,96000,59295,151,2
43,1,95000,68060,126,7
44,1,25000,56464,33,4
45,0,53000,71470,45,7
46,1,28000,71679,152,9
47,1,71000,62975,75,8
48,0,84000,64002,136,1
49,1,35000,55058,120,4
50,1,43000,55390,17,4
51,1,25000,58353,11,4
52,1,61000,67654,110,4
53,0,40000,69016,73,4
54,1,88000,56168,127,9
55,1,96000,55632,51,6
56,0,54000,55877,131,5
57,1,37000,71729,37,7
58,0,62000,61576,125,6
59,0,60000,65008,144,5
60,1,38000,56460,153,6
61,0,84000,66266,153,5
62,0,57000,71848,130,8
63,1,71000,56336,26,7
64,1,86000,70502,118,7
65,0,96000,60460,22,3
66,0,92000,65233,109,9
67,0,47000,65732,133,3
68,1,42000,61957,109,1
69,1,87000,62662,126,1
70,0,60000,58098,113,4
71,0,45000,57186,104,6
72,1,53000,63735,152,8
73,1,100000,61449,62,6
74,0,25000,60572,101,4
75,0,47000,59500,62,3
76,0,29000,63381,132,2
77,1,59000,69079,41,4
78,1,26000,66680,11,5
79,0,69000,56825,138,10
80,0,41000,68304,94,6
81,0,45000,60645,142,2
82,0,29000,71995,87,4
83,1,66000,61029,20,4
84,0,30000,58903,104,8
85,1,31000,64305,141,9
86,0,86000,61757,3,9
87,0,29000,71750,115,7
88,1,78000,57338,125,8
89,0,59000,66771,127,7
90,1,95000,70739,117,9
91,0,72000,63716,127,8
92,1,54000,65889,153,4
93,0,45000,66703,93,7
94,1,55000,61014,11,9
95,1,69000,69825,146,10
96,0,29000,64892,148,9
97,1,66000,57565,47,3
98,0,52000,56784,67,5
99,0,91000,63209,30,8
100,0,51000,60241,49,7
101,0,71000,62431,74,10
102,0,84000,63958,101,3
103,0,92000,66366,133,5
104,1,100000,55432,8,1
105,0,96000,68592,124,10
106,0,40000,62914,87,1
107,1,78000,70406,3,9
108,1,27000,63877,130,1
109,0,62000,56465,7,9
110,0,31000,71977,61,10
111,0,89000,56137,2,9
112,0,86000,60779,71,5
113,1,41000,70126,100,3
114,0,76000,57423,77,3
115,0,88000,63042,113,10
116,1,47000,66162,53,5
117,0,80000,67399,158,4
118,0,84000,65740,50,10
119,1,99000,63458,108,1
120,1,100000,70027,92,7
121,1,40000,62636,128,4
122,1,45000,71858,97,3
123,0,44000,69474,158,1
124,1,43000,67451,35,8
125,0,58000,71333,101,1
126,0,59000,64042,122,5
127,1,93000,65350,51,2
128,0,44000,70533,46,2
129,0,91000,62305,21,2
130,1,27000,56968,134,4
131,1,41000,57083,110,5
132,1,98000,60586,136,4
133,0,90000,60689,145,8
134,1,57000,60124,119,1
135,1,60000,64978,122,9
136,1,99000,67463,153,6
137,1,75000,71711,142,3
138,0,86000,70824,7,1
139,0,54000,55239,44,9
140,1,42000,59242,112,5
141,1,76000,59500,11,9
142,0,66000,55821,126,10
143,0,74000,61236,25,1
144,0,74000,58537,92,8
145,1,26000,64518,55,4
146,1,29000,59443,33,2
147,0,41000,64195,82,9
148,1,29000,59220,148,8
149,0,86000,71217,41,4
150,0,47000,61609,34,6
151,1,96000,56944,143,7
152,1,60000,64852,126,6
153,0,78000,66146,76,4
154,1,72000,57103,86,5
155,0,55000,67214,42,10
156,0,50000,64158,0,5
157,0,71000,64818,72,6
158,1,65000,68097,35,3
159,1,78000,62940,2,1
